WAREHOUSE,ITEM_NUMBER,CUR_LOCATION,DAYS_FRM_SLE,AVGD_BTW_SLE,LMGRD5,LMDEEP,OPT_CURRBAY,SUGGESTED_GRID5,SUGGESTED_DEPTH,OPT_OPTBAY,SUGGESTED_MAX,SUGGESTED_MIN,IMPLIED_REPLEN,CURRENT_REPLEN,DAILY_PICK,DAILY_UNIT,REPLEN_SCORE,WALK_SCORE,TOTAL_SCORE
7,1125822,B281984,0,1,11T11,24,19,11S47,24,4,770,54,10,50,3.00,27.00,75.04%,80.50%,60.40%
7,1091114,B830452,0,1,11S23,24,4,11S47,24,1,780,76,0,32,12.00,38.00,83.74%,72.14%,60.41%
7,1127152,A840036,0,1,12S18,120,0,27S18,120,0,200,50,42,79,5.00,25.00,60.42%,100.00%,60.42%
7,9873388,A690011,0,1,12S12,120,0,12S18,120,0,84,20,40,79,4.00,10.00,60.42%,100.00%,60.42%
7,9878806,A710035,0,1,14S18,120,0,15S30,120,0,128,30,39,79,7.00,15.00,60.42%,100.00%,60.42%
7,5554883,A320016,0,1,12S12,120,0,09S18,120,0,38,10,45,79,3.00,5.00,60.42%,100.00%,60.42%
7,1025605,B242142,0,1,08S23,24,21,11S47,24,4,1148,72,8,44,3.00,36.00,77.76%,77.71%,60.43%
7,9004468,B861431,0,1,11S47,24,14,11S47,24,3,180,34,29,32,5.00,17.00,84.05%,72.14%,60.63%
7,1166621,B211520,0,1,06T04,24,15,06T11,24,1,84,8,0,46,3.00,4.00,76.97%,79.11%,60.89%
7,2247320,A690021,0,1,15S18,120,0,27S18,120,0,306,70,38,78,11.00,35.00,61.11%,100.00%,61.11%
7,1207669,B320271,0,1,08S23,24,2,11S47,24,4,153,24,24,74,3.00,12.00,62.93%,97.21%,61.17%
7,1002880,B790552,0,1,11S23,24,5,11S47,24,1,2250,98,0,18,14.00,49.00,90.82%,67.50%,61.30%
7,9872990,B741241,0,1,11S47,24,12,27S24,120,0,120,20,25,60,2.00,10.00,69.84%,87.93%,61.41%
7,1769931,B352111,0,1,11T11,24,21,11S47,24,5,375,22,8,56,2.00,11.00,72.13%,85.14%,61.42%
7,9004010,A740041,0,1,09S44,120,0,27S24,120,0,1008,252,46,77,31.00,99.99,61.44%,100.00%,61.44%
7,5553169,B831642,0,1,08S23,24,16,11S47,24,3,231,26,16,34,4.00,13.00,83.02%,74.00%,61.44%
7,1342137,B691021,0,1,11S47,24,10,11S47,24,2,624,68,15,15,9.00,34.00,92.63%,66.57%,61.66%
7,1220656,B732564,6,4,06T11,24,25,11T11,24,8,42,11,59,73,0.25,7.25,63.27%,97.79%,61.87%
7,1084223,B221376,0,1,06T04,24,13,11T11,24,2,58,6,0,63,2.00,3.00,68.33%,90.71%,61.99%
7,1126151,A400053,0,1,15S18,120,0,15S44,120,0,120,30,42,76,8.00,15.00,62.00%,100.00%,62.00%
7,1126284,A670035,0,1,12S12,120,0,12S12,120,0,30,6,32,76,2.00,3.00,62.00%,100.00%,62.00%
7,9875901,A830043,0,1,09S24,120,0,09S30,120,0,140,35,43,76,7.00,18.00,62.00%,100.00%,62.00%
7,8907866,A770023,0,1,15S24,120,0,15S44,120,0,150,36,40,76,3.00,18.00,62.00%,100.00%,62.00%
7,6006440,B230521,0,2,11S47,24,5,27S18,120,0,60,8,10,72,1.00,2.00,63.81%,97.68%,62.33%
7,9004438,B411161,0,1,11S23,24,11,11S47,24,5,169,22,19,68,2.00,11.00,66.02%,94.43%,62.34%
7,1012270,A800021,0,1,15S18,120,0,15S30,120,0,1080,214,31,75,42.00,99.99,62.35%,100.00%,62.35%
7,1234847,B360331,0,1,11S47,24,3,14S18,120,0,504,66,19,27,20.00,33.00,86.43%,72.14%,62.35%
7,8798581,B250331,0,1,08S23,24,3,11S47,24,4,200,48,40,71,3.00,24.00,64.24%,97.21%,62.45%
7,1045206,B741851,0,1,11S47,24,18,11S47,24,3,70,12,26,21,4.00,6.00,89.30%,70.28%,62.76%
7,2587100,B892423,56,4,11T11,24,24,11S47,24,20,114,29,16,73,0.25,5.50,63.33%,99.19%,62.82%
7,7376095,B871221,0,1,11S47,24,12,11S47,24,2,504,88,27,26,6.00,44.00,87.10%,72.14%,62.83%
7,9007439,A700043,0,1,27S36,120,0,27S36,120,0,728,182,54,74,30.00,99.99,62.95%,100.00%,62.95%
7,1070502,A630011,0,1,12S18,120,0,27S12,120,0,180,42,39,74,5.00,21.00,63.06%,100.00%,63.06%
7,1126935,A680023,0,1,15S18,120,0,15S30,120,0,320,70,35,74,14.00,35.00,63.06%,100.00%,63.06%
7,1380096,A710043,0,1,27S24,120,0,27S24,120,0,252,63,47,74,8.00,35.00,63.06%,100.00%,63.06%
7,3150038,A300034,0,1,12S12,120,0,12S24,120,0,104,14,20,74,3.00,7.00,63.06%,100.00%,63.06%
7,3150044,A860034,0,1,12S24,120,0,12S44,120,0,192,42,35,74,10.00,21.00,63.06%,100.00%,63.06%
7,9918723,A180022,0,1,15S12,120,0,15S30,120,0,72,14,31,74,5.00,7.00,63.06%,100.00%,63.06%
7,9007980,B381831,0,1,11S47,24,18,11S47,24,3,180,16,12,20,4.00,8.00,89.87%,70.28%,63.16%
7,5430135,A100022,0,1,60P48,88,0,27S44,120,0,630,158,62,73,15.00,99.99,63.22%,100.00%,63.22%
7,2209207,B350912,6,2,11T11,24,9,11S47,24,13,66,8,0,72,0.50,2.00,63.81%,99.07%,63.22%
7,9004685,A210013,0,1,12S24,120,0,27S18,120,0,72,18,42,73,6.00,9.00,63.23%,100.00%,63.23%
